	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_311	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__Amphisphaeriaceae	g__Lepteutypa	s__fuckelii
ASV_312	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreales_fam_Incertae_sedis	g__Sarocladium	NA
ASV_313	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Chaetothyriaceae	NA	NA
ASV_314	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Verrucariales	f__Verrucariaceae	NA	NA
ASV_315	NA	NA	NA	NA	NA	NA	NA
ASV_316	NA	NA	NA	NA	NA	NA	NA
ASV_317	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Calosphaeriales	f__Calosphaeriaceae	g__Jattaea	s__tumidula
ASV_318	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Thyridariaceae	NA	NA
ASV_319	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Cephalothecaceae	NA	NA
ASV_320	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Exophiala	NA
ASV_321	k__Fungi	p__Ascomycota	c__Sordariomycetes	NA	NA	NA	NA
ASV_322	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	NA	NA	NA
ASV_323	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Ophiocordycipitaceae	g__Hirsutella	s__thompsonii
ASV_324	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Lecanorales	f__Lecanoraceae	g__Scoliciosporum	s__chlorococcum
ASV_325	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Acericola	s__italica
ASV_326	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_327	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Calonectria	NA
ASV_328	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Cyphellophoraceae	g__Cyphellophora	s__olivacea
ASV_329	NA	NA	NA	NA	NA	NA	NA
ASV_330	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	NA	NA	NA
ASV_331	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	NA	NA	NA
ASV_332	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Teratosphaeriaceae	NA	NA
ASV_333	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	NA	NA	NA
ASV_334	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Cucurbitariaceae	g__Neocucurbitaria	NA
ASV_335	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	NA	NA	NA
ASV_336	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	NA	NA	NA
ASV_337	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetales_fam_Incertae_sedis	g__Candida	s__mycetangii
ASV_338	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Cucurbitariaceae	g__Neocucurbitaria	NA
ASV_339	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Lecanorales	f__Lecanoraceae	g__Scoliciosporum	s__chlorococcum
ASV_340	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Hymenochaetales	f__Hymenochaetaceae	g__Hymenochaetopsis	s__corrugata
ASV_341	NA	NA	NA	NA	NA	NA	NA
ASV_342	k__Fungi	p__Ascomycota	c__Orbiliomycetes	o__Orbiliales	f__Orbiliaceae	g__Hyalorbilia	s__erythrostigma
ASV_343	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Exophiala	s__castellanii
ASV_344	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Tremellaceae	g__Tremella	s__indecorata
ASV_345	k__Fungi	p__Ascomycota	c__Sordariomycetes	NA	NA	NA	NA
ASV_346	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Hymenochaetales	f__Hymenochaetaceae	g__Hymenochaetopsis	s__corrugata
ASV_347	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Togniniales	f__Togniniaceae	g__Phaeoacremonium	s__hungaricum
ASV_348	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_349	NA	NA	NA	NA	NA	NA	NA
ASV_350	NA	NA	NA	NA	NA	NA	NA
ASV_351	k__Fungi	p__Ascomycota	c__Orbiliomycetes	NA	NA	NA	NA
ASV_352	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Occultibambusaceae	g__Brunneofusispora	s__sinensis
ASV_353	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
